2012-04-11  13:23:10         win32k.sys.x86             5.1.2600.6206    (xpsp_sp3_qfe.120411-1615)
2012-04-11  13:25:57         ntkrnlmp.exe.x86           5.1.2600.6206    (xpsp_sp3_qfe.120411-1615)
2012-06-08  14:24:16         shell32.dll.x86            6.00.2900.6242   (xpsp_sp3_qfe.120608-1644)
2012-06-08  14:26:20         shell32.dll.x86            6.00.2900.6242   (xpsp_sp3_gdr.120608-1638)
2012-07-06  13:58:10         netapi32.dll.x86           5.1.2600.6260    (xpsp_sp3_qfe.120706-1617)
2012-07-06  13:58:52         netapi32.dll.x86           5.1.2600.6260    (xpsp_sp3_gdr.120706-1619)
2012-08-24  13:52:39         wintrust.dll.x86           5.131.2600.6285  (xpsp_sp3_qfe.120824-1618)
2012-08-24  13:53:22         wintrust.dll.x86           5.131.2600.6285  (xpsp_sp3_gdr.120824-1617)
2013-01-26  03:55:10         oleaut32.dll.x86           5.1.2600.6341
2013-01-26  03:55:44         oleaut32.dll.x86           5.1.2600.6341
2013-07-04  03:03:08         ntkrnlmp.exe.x86           5.1.2600.6419    (xpsp_sp3_qfe.130704-0421)
2013-08-05  13:30:32         ole32.dll.x86              5.1.2600.6435    (xpsp_sp3_qfe.130803-0418)
2013-08-29  01:51:24         ntdll.dll.x86              6.1.7601.18247   (win7sp1_gdr.130828-1532)
2013-10-07  10:59:21         crypt32.dll.x86            5.131.2600.6459  (xpsp_sp3_qfe.131005-0434)
2013-10-09  13:12:48         gdi32.dll.x86              5.1.2600.6460    (xpsp_sp3_qfe.131009-0419)
2014-02-07  02:01:27         win32k.sys.x86             5.1.2600.6514    (xpsp_sp3_qfe.140207-0419)
2014-03-12  10:48:50         kernel32.dll.x86           5.1.2600.6532    (xpsp_sp3_qfe.140312-0419)
2015-01-20  07:28:20.068000  ntdll.dll.x86              10.0.9926.0      (fbl_awesome1501.150119-1648)
2015-01-20  08:39:25.851000  ntdll.dll.x86_64           10.0.9926.0      (fbl_awesome1501.150119-1648)
2016-02-23  10:34:31.922000  ntdll.dll.x86              10.0.10586.122   (th2_release_inmarket.160222-1549)
2016-07-16  01:27:28         msvcirt.dll.x86            7.0.14393.0      (rs1_release.160715-1616)
